id,question,subject,difficulty,marks,year,units
312,"Elaborate the various behavioral dimensions aspects of consumer behavior?",Consumer Behavior,Hard,06,Third,Unit 1
313,"Define consumer behavior and describe the concept in detail in Indian context?",Consumer Behavior,Easy,06,Third,Unit 1
314,"How do you understand by market segmentation, targeting and positioning?",Consumer Behavior,Medium,06,Third,Unit 1
315,"Define consumer behavior and explain the concept in detail?",Consumer Behavior,Hard,06,Third,Unit 1
316,"Explain market research and its importance to consumer behavior?",Consumer Behavior,Easy,06,Third,Unit 1
317,"Describe market segmentation, targeting and positioning?",Consumer Behavior,Medium,06,Third,Unit 1

318,"What are the various behavioral dimensions of consumer behavior?",Consumer Behavior,Easy,06,Third,Unit 2
319,"Explain the consumer decision making process?",Consumer Behavior,Medium,06,Third,Unit 2
320,"What are the bases for market segmentation?",Consumer Behavior,Hard,06,Third,Unit 2
321,"Write a detail note on market research and its relevance to consumer behavior?",Consumer Behavior,Easy,06,Third,Unit 2
322,"Describe the various bases of market segmentation?",Consumer Behavior,Medium,06,Third,Unit 2
323,"Explain the challenges in consumer decision making process?",Consumer Behavior,Hard,06,Third,Unit 2
324,"What is decision making? State the assumption of consumer decision.",Consumer Behavior,Easy,06,Third,Unit 2
325,"Explain the different types of consumer groups.",Consumer Behavior,Medium,06,Third,Unit 2
326,"Write the aspects of positioning and positioning strategies.",Consumer Behavior,Easy,06,Third,Unit 2
327,"What are the market positioning and positioning strategies?",Consumer Behavior,Medium,06,Third,Unit 2
328,"Explain the revenue and earnings per share (EPS) for the company’s worth.",Consumer Behavior,Hard,06,Third,Unit 2
329,"What is market segmentation? Write the requirements for effective Segmentation.",Consumer Behavior,Medium,06,Third,Unit 2

330,"Explain the Nicosia model of consumer behavior.",Consumer Behavior,Easy,06,Third,Unit 3
331,"Explain the economic model of consumer behavior.",Consumer Behavior,Medium,06,Third,Unit 3
332,"What do you mean by consumer decision making. Explain its process.",Consumer Behavior,Hard,06,Third,Unit 3
333,"Explain the scope of consumer research.",Consumer Behavior,Easy,06,Third,Unit 3
334,"What are the models adopted to study consumer behavior?",Consumer Behavior,Medium,06,Third,Unit 3
335,"What are the various levels of consumer decision making in FMCG goods?",Consumer Behavior,Hard,06,Third,Unit 3
336,"State the various cultural factors and its influences on an individual’s needs,wants and the behavior?",Consumer Behavior,Easy,06,Third,Unit 3
337,"Explain various internal and external stimuli’s that trigger’s the customer needs?",Consumer Behavior,Medium,06,Third,Unit 3
338,"What are the various levels of consumer decision making?',Consumer Behavior,Hard,06,Third,Unit 3

339,"Explain sociological influences on consumer decision making?",Consumer Behavior,Easy,06,Third,Unit 4
340,"Describe correlation between promotion strategies and consumer behavior with examples?",Consumer Behavior,Medium,06,Third,Unit 4
341,"Interpersonal communication and its profound impact on consumer decision making. Explain?",Consumer Behavior,Hard,06,Third,Unit 4
342,"Does interpersonal communication have profound impact on consumer decision making? Explain?",Consumer Behavior,Easy,06,Third,Unit 4
343,"Write a note on consumer involvement.",Consumer Behavior,Medium,06,Third,Unit 4
344,"Note on surveys and customer behavior data",Consumer Behavior,Hard,06,Third,Unit 4
345,"Discuss the personal factors of consumer behavior.",Consumer Behavior,Easy,06,Third,Unit 4
346,"Explain the different types of consumer groups.Consumer Behavior,Medium,06,Third,Unit 4

347,"State differences between industrial market and a consumer market with example",Consumer Behavior,Easy,06,Third,Unit 5
348,"Explain the Howard Sheth Model of buying behavior",Consumer Behavior,Medium,06,Third,Unit 5
349,"What do you mean by the term consumer innovator?",Consumer Behavior,Hard,06,Third,Unit 5
350,"Consumer innovators are the real indicators of consumer behaviour? Describe in detail",Consumer Behavior,Easy,06,Third,Unit 5
351,"What are the advantages of consumer research?",Consumer Behavior,Medium,06,Third,Unit 5
352,"Write the difference between organizational & consumer buying.",Consumer Behavior,Hard,06,Third,Unit 5
353,"Discuss the various marketing strategies?",Consumer Behavior,Easy,06,Third,Unit 5
354,"Discuss the major factors that influence consumer behavior.",Consumer Behavior,Medium,06,Third,Unit 5
355,"Write the difference between organizational & consumer buying.",Consumer Behavior,Hard,06,Third,Unit 5
356,"Discuss the objectives and importance of consumer behavior.",Consumer Behavior,Easy,06,Third,Unit 5


357,"What is IoT? Explain its characteristics and application of IoT.",IOT,Easy,06,Third,Unit 1
358,"Explain with neat diagram different IoT communication models.",IOT,Medium,06,Third,Unit 1
359,"What are the biggest challenges for IoT adoption.",IOT,Hard,06,Third,Unit 1
360,"Explain with neat diagram different IoT communication models.",IOT,Easy,06,Third,Unit 1
361,"Write an equation of the “Internet” of “Things”. And explain the purpose of IOT.",IOT,Medium,06,Third,Unit 1
362,"Explain one M2M IOT Standardized Architecture With a neat Diagram?",IOT,Hard,06,Third,Unit 1

363,"Explain communication criteria for an IoT platforms.",IOT,Easy,06,Third,Unit 2
364,"What is a sensor? Explain different types of sensors.",IOT,Medium,06,Third,Unit 2
365,"Explain leading types of IoT wireless technologies.",IOT,Hard,06,Third,Unit 2
366,"What is meaning of Actuator? Explain any 6 types of actuators in detail.",IOT,Easy,06,Third,Unit 2
367,"Write a short note on the Transport Layer.",IOT,Medium,06,Third,Unit 2
368,"Explain the Topology to build an IoT network. and What are the disadvantages of wireless-based networks?",IOT,Hard,06,Third,Unit 2

369,"Explain the need of optimization in IoT.",IOT,Easy,06,Third,Unit 3
370,"Describe Message Queuing Telemetry Transport Protocol.",IOT,Medium,06,Third,Unit 3
371,"Explain supervisory control and data acquisition.",IOT,Hard,06,Third,Unit 3
372,"Explain IOT reference model.",IOT,Easy,06,Third,Unit 3
373,"Explain the terms in brief Serial Communications and IPv6 Adaptation Layer.",IOT,Medium,06,Third,Unit 3
374,"Explain Optimizing IP for IoT in brief with the help of a neat and labeled diagram.",IOT,Hard,06,Third,Unit 3

375,"What is machine learning? Explain types of machine learning categories.",IOT,Easy,06,Third,Unit 4
376,"Explain Big Data Analytics Tools and Technology.",IOT,Medium,06,Third,Unit 4
377,"Explain Massively Parallel Processing Shared-Nothing Architecture.",IOT,Hard,06,Third,Unit 4
378,"Write a short note on Neural networks.",IOT,Easy,06,Third,Unit 4
379,"Why edge analytics is preferred in real time analysis over big data?",IOT,Medium,06,Third,Unit 4

380,"Explain smart city IoT architecture with a neat diagram.",IOT,Easy,06,Third,Unit 5
381,"Explain smart city security architecture with a neat diagram.",IOT,Medium,06,Third,Unit 5
382,"Write a short note on smart city use-case examples.",IOT,Hard,06,Third,Unit 5
383,"Explain PIN diagram Raspberry Pi 3.",IOT,Easy,06,Third,Unit 5
384,"Write and explain code to blink LED using python and Raspberry Pi.",IOT,Medium,06,Third,Unit 5
385,"Explain Arduino hardware with the help of a diagram.",IOT,Hard,06,Third,Unit 5


386,"Describe social issues with computer network?",Computer Networks,Easy,06,Third,Unit 1
387,"Give comparison between OSI reference model and TCP/IP model?",Computer Networks,Medium,06,Third,Unit 1
388,"Compare connectionless and connection oriented protocol?",Computer Networks,Hard,06,Third,Unit 1
389,"What is a computer network? Enlist four uses of computer network.",Computer Networks,Easy,06,Third,Unit 1
390,"Explain network software with respect to protocol hierarchy and design issues for layer.",Computer Networks,Medium,06,Third,Unit 1
391,"State and explain the functionalities of all layers in ISO-OSI Model.",Computer Networks,Hard,06,Third,Unit 1
392,"Why is network standardization crucial for global communication? Identify key organizations involved in the standardization process and their roles.",Computer Networks,Easy,06,Third,Unit 1
393,"Match the following to one or more layers of the OSI model:
    a. Format and code conversion services
    b. Establishes, manages, and terminates sessions
    c. Ensures reliable transmission of data
    d. Log-in and log-out procedures
    e. Provides independence from differences in data representation",Computer Networks,Medium,06,Third,Unit 1
394,"What is the principal difference between connectionless communication and connection-oriented communication? Explain in brief.",Computer Networks,Easy,06,Third,Unit 1
395,"What is the length of a bit in a channel with a propagation speed of 2x 108 m/s if the channel bandwidth is
     i. 1Mbps?
    ii. 10 Mbps?
    iii. 100 Mbps?",Computer Networks,Easy,06,Third,Unit 1
396,"Explain Network software in detail?",Computer Networks,Hard,06,Third,Unit 1
397,"Write short note on various high speed network Technology",Computer Networks,Medium,06,Third,Unit 1
398,"Explain Type of computer network",Computer Networks,Easy,06,Third,Unit 1

399,"Discuss Wi-MAX (802.16) and Bluetooth (802.15.1) technology application in real life?",Computer Networks,Easy,06,Third,Unit 2
400,"Compare token ring and FDDI with their frame format?",Computer Networks,Medium,06,Third,Unit 2
401,"Describe in brief 802.11 architecture and protocol stack?",Computer Networks,Hard,06,Third,Unit 2
402,"Write a short note on i)Bluetooth Architecture ii)RFID Technology",Computer Networks,Easy,06,Third,Unit 2
403,"State and explain Bluetooth Architecture",Computer Networks,Medium,06,Third,Unit 2
404,"Explain the frame structure of Ethernet 802.3 in detail.",Computer Networks,Hard,06,Third,Unit 2
405,"Explain the Wi-MAX in detail, and how does it differ from Wi-Fi?",Computer Networks,Easy,06,Third,Unit 2
406,"Describe the main components of an RFID system and their functions.",Computer Networks,Medium,06,Third,Unit 2
407,"What is X.25? Explain X.25 layers and frame structure.",Computer Networks,Hard,06,Third,Unit 2
408,"Explain frame format of Ethernet IEEE 802.3",Computer Networks,Easy,06,Third,Unit 2
409,"Explain ATM layers and their functions. How is an ATM virtual connection identified? Explain in brief.",Computer Networks,Medium,06,Third,Unit 2
410,"Explain in brief WiFi 802.11. Also explain working principle of WiFi 802.11",Computer Networks,Hard,06,Third,Unit 2
411,"Draw and Explain Ethernet frame format.",Computer Networks,Easy,06,Third,Unit 2

412,"Illustrate byte count and bit stuffing framing method?
    A (7,4) hamming code is received as 1110000. Determine the correct code when even parity is considered.?",Computer Networks,Easy,06,Third,Unit 3
413,"Justify how CRC is a stronger kind of error-detecting code.
     msg – 1 1 0 1 1 0 1 0 0 0 0 gen- 1 0 1 0 1 , Calculate CRC for the given data input?",Computer Networks,Easy,06,Third,Unit 3
414,"What is framing in network? Explain byte stuffing framing techniques with suitable example.",Computer Networks,Medium,06,Third,Unit 3
415,"Illustrate the service provided to the network layer by the data link layer.",Computer Networks,Medium,06,Third,Unit 3
416,"Describe Error Detection and Correction.",Computer Networks,Easy,06,Third,Unit 3
417,"Explain the concept of framing in the Data Link Layer. Describe the various methods of framing used in the Data Link Layer.",Computer Networks,Hard,06,Third,Unit 3
418,"Explain flow control in the Data Link Layer. What are the challenges associated with implementing flow control in the Data Link Layer?",Computer Networks,Hard,06,Third,Unit 3
419,"What are error-correcting codes? How do they differ from error-detecting codes?",Computer Networks,Medium,06,Third,Unit 3
420,"The following character encoding is used in a datalink protocol: A: 01000111 B: 11100011 FLAG:01111110 ESC: 11100000",Computer Networks,Medium,06,Third,Unit 3
421,"Show the bit sequence transmitted (in binary) for the four-character frame A B ESC FLAG when Flag bytes with byte stuffing farming methods isused.",Computer Networks,Hard,06,Third,Unit 3
422,"Calculate CRC code for Message “10001010111101010110011” if divisor polynomial is X3+ X2 +1",Computer Networks,Easy,06,Third,Unit 3
423,"Explain Go-back-N ARQ. If a sender A sent 8 frames , it receives ACK with ACK number 6 , if A is using Go-back –N ARQ how many frames has to be retransmitted. Explain with diagram",Computer Networks,Hard,06,Third,Unit 3
424,"A 7 bit Hamming code received as 1011011. Assume even parity and state whether the received code is correct or wrong, if wrong locate the bit in error?",Computer Networks,Medium,06,Third,Unit 3
425,"Consider the data unit to be transmitted is-10011001111000100010010010000100 Consider 8 bit checksum is used..",Computer Networks,Hard,06,Third,Unit 3
426,"What is hamming distance? Explain with example",Computer Networks,Easy,06,Third,Unit 3

427,"Compare IPv4 and IPv6 address formats?",Computer Networks,Easy,06,Third,Unit 4
428,"Describe the following congestion control mechanisms with suitable example. 1. Traffic Throttling 2. Load Shedding",Computer Networks,Medium,06,Third,Unit 4
429,"Illustrate with example leaky bucket and token bucket algorithms for traffic shaping?",Computer Networks,Hard,06,Third,Unit 4
430,"Illustrate the service provided to the network layer by the data link layer.",Computer Networks,Easy,06,Third,Unit 4
431,"What is Quality of Service? Mention various factors of QOS.",Computer Networks,Medium,06,Third,Unit 4
432,"Explain the structure of the IPv6 address. Discuss the difference between IPv4 and IPv6.",Computer Networks,Hard,06,Third,Unit 4
433,"Explain the Distance Vector Routing Algorithm in detail.",Computer Networks,Easy,06,Third,Unit 4
434,"What is network congestion? Discuss the concept of load shading in congestion prevention.",Computer Networks,Medium,06,Third,Unit 4
435,"Consider an IP packet with a length of 4,500 bytes that includes a 20-byteIPv4 header and a 40-byte TCP header. The packet is forwarded to an IPv4 router that supports a Maximum Transmission Unit (MTU) of 600 bytes. Assume that the length of the IP header in all the outgoing fragments of this packet is 20 bytes. Assume that the fragmentation offset value stored in the first fragment is 0. What is the fragmentation offset value stored in the third fragment? what are the total number of fragmens ?",Computer Networks,Hard,06,Third,Unit 4
436,"The following is a dump of a UDP header in hexadecimal format.0045DE00FE200058
    a. What is the source port number?
    b. What is the destination port number?
    c. What is the total length of the user datagram?
    d. What is the length of the data?
    e. Is the packet directed from a client to a server or vice versa?
    f. What is the client process?",Computer Networks,Easy,06,Third,Unit 4
437,"What is count-to-Infinity problem in distance vector routing? How it can be solved? Explain with example.",Computer Networks,Medium,06,Third,Unit 4
438,"Draw and explain IV4 Header format",Computer Networks,Easy,06,Third,Unit 4
439,"Write Berkeley Socket primitive",Computer Networks,Hard,06,Third,Unit 4
440,"From IP Address 222.151.210.34 find out its class , Network ID , Host ID",Computer Networks,Medium,06,Third,Unit 4

441,"Describe five tuple DNS record with an example?",Computer Networks,Easy,06,Third,Unit 5
442,"Compare SMTP and POP Protocols?",Computer Networks,Medium,06,Third,Unit 5
443,"Illustrate the network security essentials Confidentiality, Authentication, Non repudiation and Integrity control for considering the E-commerce website?",Computer Networks,Hard,06,Third,Unit 5
444,"What is cryptography? Explain the working principle of public key cryptography with suitable diagram.",Computer Networks,Easy,06,Third,Unit 5
445,"Write a short note on 1)DNS 2) DDNS",Computer Networks,Medium,06,Third,Unit 5
446,"Compare FTP and TFTP protocols.",Computer Networks,Hard,06,Third,Unit 5
447",Write a short note on: i) DNS ii) HTTP",Computer Networks,Easy,06,Third,Unit 5
448,"Explain the purpose of firewalls in network security. What factors should be considered when designing a firewall policy?",Computer Networks,Medium,06,Third,Unit 5
449,"Describe the principles of public key and private key cryptography. How they differ from each other?",Computer Networks,06,Hard,Third,Unit 5
450,"Explain FTP protocol and FTP connections.",Computer Networks,Easy,06,Third,Unit 5
451,"Can a machine with a single DNS name have multiple IP addresses? How could this occur.",Computer Networks,Medium,06,Third,Unit 5
452,"Explain three types of Firewalls.",Computer Networks,Hard,06,Third,Unit 5
453,"What do you mean of digital Signature? Define the following Term.
   1)Symmetric and Asymmetric key cryptography
   2)Public key
   3)private key
   4)Authentication
   5)Integrity",Computer Networks,Medium,06,Third,Unit 5
454,"Explain SMTP &amp; POP Protocol",Computer Networks,Hard,06,Third,Unit 5
455,"Difference between persistence and non- persistence HTTP protocol",Computer Networks,Easy,06,Third,Unit 5


456,"Demonstrate your understanding of umbrella activities of a Software process",Software Engineering,Easy,06,Third,Unit 1
457,"List and describe qualities of good software",Software Engineering,Medium,06,Third,Unit 1
458,"With neat sketch explain Verification and Validation model used for Software Engineering",Software Engineering,Hard,06,Third,Unit 1
459,"What is Software Engineering Ethics? Explain ACM/IEEE code of ethics.",Software Engineering,Easy,06,Third,Unit 1
460,"Why requirements engineering considered as a critical stage of the software process? Discuss the three main activities involved in the requirements engineering process.",Software Engineering,Medium,06,Third,Unit 1
461,"Explain software process activities.",Software Engineering,Hard,06,Third,Unit 1
462,"What are the four important attributes that all professional software should have? state and explain.",Software Engineering,Easy,06,Third,Unit 1
463,"Explain software Process activities.",Software Engineering,Medium,06,Third,Unit 1
464,"Explain the software Engineering code of ethics and professional practice",Software Engineering,Hard,06,Third,Unit 1

465,"Discuss the Extreme Programming process",Software Engineering,Easy,06,Third,Unit 2
466,"What is agile Software Development? Give its advantages",Software Engineering,Medium,06,Third,Unit 2
467,"Compare Functional and Non-Functional Requirements with respect to Software Engineering.",Software Engineering,Hard,06,Third,Unit 2
468,"Explain refactoring and pair programming as agile development techniques.",Software Engineering,Easy,06,Third,Unit 2
469,"Discuss Functional and Non-Functional Requirements",Software Engineering,Medium,06,Third,Unit 2
470,"Explain requirements validation software process.",Software Engineering,Hard,06,Third,Unit 2
471,"Compare Plan driven approach and Agile methods.",Software Engineering,Easy,06,Third,Unit 2
472,"An automated ticket-issuing system sells rail tickets. Users select their destination and input a credit card and a personal identification number. The rail ticket is issued and their credit card account charged. When the user presses the start button, a menu display of potential destinations is activated,along with a message to the user to select a destination. Once a destination has been selected, users are requested to input their credit card. Its validity is checked and the user is then requested to input a personal identifier. When the credit transaction has been validated, the ticket is issued. For above case study find functional and non-functional requirements.",Software Engineering,Medium,06,Third,Unit 2
473,"What is requirements elicitation? explain requirement elicitation and analysis process in brief",Software Engineering,Hard,06,Third,Unit 2

474,"What is the purpose of System Modelling? Explain different types of System Models in brief.",Software Engineering,Easy,06,Third,Unit 3
475,"What are Architectural Patterns in Software Engineering? How do the Architectural Patterns contribute to system design?",Software Engineering,Medium,06,Third,Unit 3
476,"Explain in brief i) Context Models and ii) Interaction models",Software Engineering,Hard,06,Third,Unit 3
477,"What is System Modelling? Explain different types of System Models in brief.",Software Engineering,Medium,06,Third,Unit 3
478,"What are Architectural Patterns? Explain Layered Architecture Pattern with suitable diagram.",Software Engineering,Hard,06,Third,Unit 3
479,"Explain application architecture for Transaction Processing System with suitable diagram.",Software Engineering,Easy,06,Third,Unit 3
480,"What is system model? Explain types of system models in brief",Software Engineering,Medium,06,Third,Unit 3
481,"What are Architectural views?Explain 4 + 1 view model of software architecture",Software Engineering,Hard,06,Third,Unit 3
482,"What are the Architectural patterns? Explain Model view controller (MVC) pattern",Software Engineering,Easy,06,Third,Unit 3

483,"Draw sequence diagram and use case diagram for ATM.",Software Engineering,Easy,06,Third,Unit 4
484,"Draw various symbols used for drawing UML diagrams",Software Engineering,Medium,06,Third,Unit 4
485,"Discuss Object Oriented Design using UML in brief.",Software Engineering,Hard,06,Third,Unit 4
486,"Write a note on Open-Source Development and Open-Source Licensing.",Software Engineering,Easy,06,Third,Unit 4
487,"Discuss Object Oriented Design using UML in brief.",Software Engineering,Medium,06,Third,Unit 4
488,"Compare Software Inspection and Testing.",Software Engineering,Hard,06,Third,Unit 4
489,"What is software reuse? Explain software reuse levels.",Software Engineering,Easy,06,Third,Unit 4
490,"A group diary and time management system is intended to support the timetabling of meetings and appointments across a group of co-workers. When an appointment is to be made that involves a number of people, the system finds a common slot in each of their diaries and arranges the appointment for that time. If no common slots are available, it interacts with the user to rearrange his or her personal diary to make room for the appointment.For above case study Draw the use-case diagram",Software Engineering,Medium,06,Third,Unit 4

491,"Compare functional testing and nonfunctional testing",Software Engineering,Easy,06,Third,Unit 5
492,"Explain test driven development with neat sketch.",Software Engineering,Medium,06,Third,Unit 5
493,"In brief describe a) Usability Testing b) Unit Testing c) Acceptance Testing.",Software Engineering,Hard,06,Third,Unit 5
494,"Discuss Component testing in detail",Software Engineering,Easy,06,Third,Unit 5
495,"What is Test-driven development (TDD)? Explain TDD process activities.",Software Engineering,Medium,06,Third,Unit 5
496,"Write a note on User Testing",Software Engineering,Hard,06,Third,Unit 5
497,"Compare software inspection and testing",Software Engineering,Easy,06,Third,Unit 5
498,"What is Test-driven development (TDD)? Explain TDD process activities",Software Engineering,Medium,06,Third,Unit 5
499,"Explain principal dependability properties in brief",Software Engineering,Hard,06,Third,Unit 5

500,"Define the front-end and back-end of a compiler. Which phases are typically included in each, and what are their primary responsibilities?",Compiler Design,Easy,06,Third,Unit 1
501,"What is lexical analysis? Discuss its role in the compilation process, and explain how it converts the source code into tokens.",Compiler Design,Medium,06,Third,Unit 1
502,"What are parser generators, such as Yacc or Bison? Explain how they are used to generate parsers and the benefits they provide.",Compiler Design,Hard,06,Third,Unit 1
503,"Explain the stages involved in analyzing a source program. What are the key activities performed during the lexical, syntactic, and semantic analysis stages?",Compiler Design,Easy,06,Third,Unit 1
504,"What is code optimization? Describe its role in the compilation process and provide examples of common optimization techniques.",Compiler Design,Medium,06,Third,Unit 1
505,"Describe the middle-end of a compiler. What is its function, and why is it important to separate optimization from other phases?",Compiler Design,Hard,06,Third,Unit 1
506,"Draw a neat diagram and explain different phases of compiler. Differentiate between Interpreter, Compiler and Hybrid compiler.",Compiler Design,Easy,06,Third,Unit 1
507,"Define token, pattern, and lexeme with suitable examples. Find tokens, pattern and lexemes forthe following C- program. Give reasonable at-tribute values for the tokens.
    int main()
    {
    int a = 10, b = 20;
    printf (“Sum is : %d”, a+b);
    return (0)
    }",Compiler Design,Medium,06,Third,Unit 1
508,"i) Explain regular expression and regular definition with example.
    ii) Write regular definitions for the following languages:
     1. All strings of lowercase letters that contain the five vowels in order.
     2. All strings of lowercase letters in which the letters are in ascending lexicographic order.",Compiler Design,Hard,06,Third,Unit 1
509,"What do you understand by "Input Buffering"? Explain 'Buffer pairs' and sentinels.",Compiler Design,Medium,06,Third,Unit 1
510,"Explain the various phases of a compiler and their roles in the compilation process. Illustrate the flow of information between these phases.",Compiler Design,Easy,06,Third,Unit 1
511,"Discuss the lexical analysis phase of a compiler. Explain the role of the lexical analyzer and the construction of tokens from the input source code.",Compiler Design,Medium,06,Third,Unit 1
512,"What is syntax analysis? Describe the role of a parser in this phase. Differentiate between top-down and bottom-up parsing techniques, providing examples for each.",Compiler Design,Hard,06,Third,Unit 1


513,"Explain how regular expressions are used to specify tokens. Give an examples of regular expressions for different types of tokens, including keywords, identifiers, numbers, and string literals",Compiler Design,Easy,06,Third,Unit 2
514,"Describe the typical structure of a lexical specification using a language like Lex. What are the main sections of such a specification?",Compiler Design,Medium,06,Third,Unit 2
515,"Explain the workflow of a lexical analyzer generator from input specification to the generation of the lexical analyzer code. Provide a step-by-step description of the process.",Compiler Design,Hard,06,Third,Unit 2
516,"Discuss techniques for handling lexical errors in a lexical specification. How can a lexical analyzer be designed to report and recover from lexical errors?",Compiler Design,Easy,06,Third,Unit 2
517,"State and explain the main components of a lexical analyzer generator and their roles in generating a lexical analyzer.",Compiler Design,Medium,06,Third,Unit 2
518,"Discuss optimization techniques that can be employed by lexical analyzer generators to improve the performance of the generated lexical analyzer.",Compiler Design,Hard,06,Third,Unit 2
519,"Explain the two buffer input scheme for scanning the source program in lexical analyzer? How the use of sentinels can improve its performance?",Compiler Design,Medium,06,Third,Unit 2
520,"i) Explain the role of finite automata in lexical analyzer and differentiate between NFA and DFA.
     ii) Convert the following regular expression to NFA using Thompson Construction algorithm.
     (a|b*ab)*",Compiler Design,Medium,06,Third,Unit 2
521,"Convert the following NFA to DFA using subset construction algorithm.
    ((01| 0) 1*)*",Compiler Design,Hard,06,Third,Unit 2
522,"What is a finite automata? Construct transition diagram of a DFA for the string (a+b)* .",Compiler Design,Easy,06,Third,Unit 2
523,"What is Lex? Explain.",Compiler Design,Easy,06,Third,Unit 2
524,"Give the formal definition of Context-Free Grammar.",Compiler Design,Medium,06,Third,Unit 2
525,"Explain the concept of a symbol table in compiler design. Discuss its importance and the information it stores during the compilation process.",Compiler Design,Easy,06,Third,Unit 2
526,"Describe the different types of errors that can occur during compilation. Explain the difference between lexical, syntax, and semantic errors. Provide examples foreach.",Compiler Design,Medium,06,Third,Unit 2
527,"Explain constructing syntax trees for simple expressions involving only binary operators + and -. State the use of Leaf and Node in this syntax tree.",Compiler Design,Hard,06,Third,Unit 2


528,"Write a context-free grammar for simple arithmetic expressions involving addition, subtraction, multiplication, and division. Ensure your grammar is unambiguous.",Compiler Design,Easy,06,Third,Unit 3
529,"What is bottom-up parsing? Describe the main techniques used in bottom-up parsing, including shift-reduce parsing.",Compiler Design,Medium,06,Third,Unit 3
530,"Construct an operator-precedence table for a given set of operators and their precedence rules. Demonstrate how this table is used to parse an arithmetic expression.",Compiler Design,Hard,06,Third,Unit 3
531,"What are parser generators? Describe their role in compiler construction and how they aid in the development of parsers.",Compiler Design,Easy,06,Third,Unit 3
532,"Discuss the advantages and limitations of using parser generators in compiler design. State the scenarios where using a parser generator would be particularly beneficial.",Compiler Design,Medium,06,Third,Unit 3
533,"What are LR parsers? Describe the different variants of LR parsers, including SLR, LALR, and Canonical LR.",Compiler Design,Hard,06,Third,Unit 3
534,"i) What is left recursion and left factoring?
     ii) Consider the CFG SSS+| SS* | a
     a) Left factor this grammar.
     b) Eliminate the left recursion from the original grammar.
     c) Is the resulting grammar suitable for top-down parsing?",Compiler Design,Easy,06,Third,Unit 3
534,"What is the difference between recursive–descent parsing and predictive parsing?Draw and explain the model of non recursive predictive parser.",Compiler Design,Medium,06,Third,Unit 3
535,"What is LL(1) grammar? Construct a LL(1) parsing table for the following grammar. Test whether following grammar isLL(1).
     S → aAB|bA|є
     A → aAb |є
     B → bB |c",Compiler Design,Hard,06,Third,Unit 3
536,"What is Parse Tree? Explain with example.",Compiler Design,Easy,06,Third,Unit 3
537,"What is LL(1) Grammar?",Compiler Design,Medium,06,Third,Unit 3
538,"Explain Bottom-Up parsing.",Compiler Design,Hard,06,Third,Unit 3
539,"Discuss the role of semantic analysis in a compiler. Explain how type checking and type inference are performed during this phase. Illustrate with suitable examples.",Compiler Design,Easy,06,Third,Unit 3
540,"Explain the intermediate code generation phase of a compiler. Describe the different intermediate representations used and their advantages and disadvantages.",Compiler Design,Medium,06,Third,Unit 3
541,"What is optimization in the context of a compiler? Discuss the importance of optimization and provide examples of common optimization techniques used in compilers.",Compiler Design,Hard,06,Third,Unit 3


542,"Explain how SDT can be used to generate intermediate code for a simple programming language.",Compiler Design,Easy,06,Third,Unit 4
543,"Explain the concept of top-down parsing. How does it differ from bottom-up parsing?",Compiler Design,Medium,06,Third,Unit 4
544,"Given the following grammar for arithmetic expressions:
     E → E + T, E → T, T → T * F, T → F, F → ( E ), F → id
     Write a syntax-directed translation scheme that generates three-address code for this grammar. Explain how the translation scheme works for each production rule.",Compiler Design,Hard,06,Third,Unit 4
545,"Describe the purpose and benefits of generating intermediate code in the compilation process. How does intermediate code improve the efficiency and portability of compilers?",Compiler Design,Easy,06,Third,Unit 4
546,"How is intermediate code generated for control flow constructs such as if-else statements and while loops? Give an example of each, showing the source code and the corresponding intermediate code.",Compiler Design,Medium,06,Third,Unit 4
547,"What are the common techniques for optimizing intermediate code? State the examples to illustrate how these optimizations can improve the performance of the generated code.",Compiler Design,Hard,06,Third,Unit 4
548,"Explain stack implementation of shift reduce parsing with their four possible actions.Consider the following grammar
     S → TL
     T → int | float
     L → L,id | id
     Parse the input string int id, id using shift – reduce parser.",Compiler Design,Easy,06,Third,Unit 4
549,"i) Differentiate between LR(0) and LR(1) grammar with suitable example.
     ii)What is handle? Consider the following grammar and show the handle of each right sentential form for the string ( a ,( a , a )).
      S→ (L)|a
      L → L ,S |S",Compiler Design,Medium,06,Third,Unit 4
550,"Show that following grammar is LL(1) but not SLR(1).
     S→ AaAb | BbBa
     A →є
     B→є",Compiler Design,Hard,06,Third,Unit 4
551,"What is Syntax-Directed Definition?",Compiler Design,Easy,06,Third,Unit 4
552,"Explain type checking in detail.",Compiler Design,Medium,06,Third,Unit 4
553,"What is Symbol Table? Explain the organization of symbol table in detail.",Compiler Design,Hard,06,Third,Unit 4
554,"Describe the code generation phase of a compiler. Explain the different code generation techniques, such as the use of registers and stack allocation.",Compiler Design,Easy,06,Third,Unit 4
555,"What are the different types of code optimization techniques? Explain loop optimization and its benefits in detail. Provide examples to illustrate your explanation",Compiler Design,Medium,06,Third,Unit 4
556,"Construct a Predictive parsing table for the Grammar
    E ->E+T | T, T->T*F | F, F->(E) | id.",Compiler Design,Hard,06,Third,Unit 4

557,"Explain the problem of instruction selection in code generation. How does the choice of target machine instructions impact the performance of the generated code?",Compiler Design,Easy,06,Third,Unit 5
